county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,OTH,All Others,7
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,LIB,Chase R. Oliver,6
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,IND,Claudia De La Cruz,1
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,REP,Donald J. Trump,1406
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,GRN,Jill E. Stein,2
ACCOMACK COUNTY,101 - CHINCOTEAGUE,President,,DEM,Kamala D. Harris,776
ACCOMACK COUNTY,201 - ATLANTIC,President,,LIB,Chase R. Oliver,4
ACCOMACK COUNTY,201 - ATLANTIC,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,201 - ATLANTIC,President,,REP,Donald J. Trump,549
ACCOMACK COUNTY,201 - ATLANTIC,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,201 - ATLANTIC,President,,DEM,Kamala D. Harris,207
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,OTH,All Others,2
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,LIB,Chase R. Oliver,1
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,REP,Donald J. Trump,939
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,GRN,Jill E. Stein,4
ACCOMACK COUNTY,202 - GREENBACKVILLE,President,,DEM,Kamala D. Harris,396
ACCOMACK COUNTY,301 - NEW CHURCH,President,,OTH,All Others,2
ACCOMACK COUNTY,301 - NEW CHURCH,President,,LIB,Chase R. Oliver,6
ACCOMACK COUNTY,301 - NEW CHURCH,President,,IND,Claudia De La Cruz,1
ACCOMACK COUNTY,301 - NEW CHURCH,President,,IND,Cornel R. West,6
ACCOMACK COUNTY,301 - NEW CHURCH,President,,REP,Donald J. Trump,731
ACCOMACK COUNTY,301 - NEW CHURCH,President,,GRN,Jill E. Stein,3
ACCOMACK COUNTY,301 - NEW CHURCH,President,,DEM,Kamala D. Harris,868
ACCOMACK COUNTY,401 - BLOXOM,President,,OTH,All Others,2
ACCOMACK COUNTY,401 - BLOXOM,President,,LIB,Chase R. Oliver,4
ACCOMACK COUNTY,401 - BLOXOM,President,,IND,Claudia De La Cruz,2
ACCOMACK COUNTY,401 - BLOXOM,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,401 - BLOXOM,President,,REP,Donald J. Trump,487
ACCOMACK COUNTY,401 - BLOXOM,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,401 - BLOXOM,President,,DEM,Kamala D. Harris,194
ACCOMACK COUNTY,402 - PARKSLEY,President,,OTH,All Others,1
ACCOMACK COUNTY,402 - PARKSLEY,President,,LIB,Chase R. Oliver,1
ACCOMACK COUNTY,402 - PARKSLEY,President,,IND,Claudia De La Cruz,3
ACCOMACK COUNTY,402 - PARKSLEY,President,,REP,Donald J. Trump,496
ACCOMACK COUNTY,402 - PARKSLEY,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,402 - PARKSLEY,President,,DEM,Kamala D. Harris,262
ACCOMACK COUNTY,403 - SAXIS,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,403 - SAXIS,President,,REP,Donald J. Trump,175
ACCOMACK COUNTY,403 - SAXIS,President,,DEM,Kamala D. Harris,44
ACCOMACK COUNTY,501 - MAPPSVILLE,President,,IND,Claudia De La Cruz,1
ACCOMACK COUNTY,501 - MAPPSVILLE,President,,REP,Donald J. Trump,292
ACCOMACK COUNTY,501 - MAPPSVILLE,President,,GRN,Jill E. Stein,5
ACCOMACK COUNTY,501 - MAPPSVILLE,President,,DEM,Kamala D. Harris,406
ACCOMACK COUNTY,502 - RUE,President,,OTH,All Others,1
ACCOMACK COUNTY,502 - RUE,President,,REP,Donald J. Trump,151
ACCOMACK COUNTY,502 - RUE,President,,DEM,Kamala D. Harris,440
ACCOMACK COUNTY,601 - ACCOMAC,President,,OTH,All Others,3
ACCOMACK COUNTY,601 - ACCOMAC,President,,LIB,Chase R. Oliver,3
ACCOMACK COUNTY,601 - ACCOMAC,President,,IND,Claudia De La Cruz,2
ACCOMACK COUNTY,601 - ACCOMAC,President,,IND,Cornel R. West,2
ACCOMACK COUNTY,601 - ACCOMAC,President,,REP,Donald J. Trump,860
ACCOMACK COUNTY,601 - ACCOMAC,President,,GRN,Jill E. Stein,6
ACCOMACK COUNTY,601 - ACCOMAC,President,,DEM,Kamala D. Harris,609
ACCOMACK COUNTY,602 - TANGIER,President,,OTH,All Others,1
ACCOMACK COUNTY,602 - TANGIER,President,,IND,Claudia De La Cruz,2
ACCOMACK COUNTY,602 - TANGIER,President,,REP,Donald J. Trump,200
ACCOMACK COUNTY,602 - TANGIER,President,,DEM,Kamala D. Harris,24
ACCOMACK COUNTY,701 - NANDUA,President,,OTH,All Others,5
ACCOMACK COUNTY,701 - NANDUA,President,,LIB,Chase R. Oliver,4
ACCOMACK COUNTY,701 - NANDUA,President,,IND,Claudia De La Cruz,2
ACCOMACK COUNTY,701 - NANDUA,President,,IND,Cornel R. West,2
ACCOMACK COUNTY,701 - NANDUA,President,,REP,Donald J. Trump,1140
ACCOMACK COUNTY,701 - NANDUA,President,,GRN,Jill E. Stein,8
ACCOMACK COUNTY,701 - NANDUA,President,,DEM,Kamala D. Harris,1009
ACCOMACK COUNTY,801 - BOBTOWN,President,,OTH,All Others,3
ACCOMACK COUNTY,801 - BOBTOWN,President,,LIB,Chase R. Oliver,1
ACCOMACK COUNTY,801 - BOBTOWN,President,,REP,Donald J. Trump,465
ACCOMACK COUNTY,801 - BOBTOWN,President,,GRN,Jill E. Stein,2
ACCOMACK COUNTY,801 - BOBTOWN,President,,DEM,Kamala D. Harris,250
ACCOMACK COUNTY,802 - MELFA,President,,OTH,All Others,1
ACCOMACK COUNTY,802 - MELFA,President,,LIB,Chase R. Oliver,2
ACCOMACK COUNTY,802 - MELFA,President,,IND,Claudia De La Cruz,2
ACCOMACK COUNTY,802 - MELFA,President,,REP,Donald J. Trump,421
ACCOMACK COUNTY,802 - MELFA,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,802 - MELFA,President,,DEM,Kamala D. Harris,462
ACCOMACK COUNTY,803 - WACHAPREAGUE,President,,LIB,Chase R. Oliver,5
ACCOMACK COUNTY,803 - WACHAPREAGUE,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,803 - WACHAPREAGUE,President,,REP,Donald J. Trump,404
ACCOMACK COUNTY,803 - WACHAPREAGUE,President,,DEM,Kamala D. Harris,184
ACCOMACK COUNTY,901 - PAINTER,President,,OTH,All Others,4
ACCOMACK COUNTY,901 - PAINTER,President,,LIB,Chase R. Oliver,3
ACCOMACK COUNTY,901 - PAINTER,President,,IND,Claudia De La Cruz,1
ACCOMACK COUNTY,901 - PAINTER,President,,IND,Cornel R. West,1
ACCOMACK COUNTY,901 - PAINTER,President,,REP,Donald J. Trump,792
ACCOMACK COUNTY,901 - PAINTER,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,901 - PAINTER,President,,DEM,Kamala D. Harris,1137
ACCOMACK COUNTY,ACCOMACK COUNTY PROVISIONALS,President,,LIB,Chase R. Oliver,1
ACCOMACK COUNTY,ACCOMACK COUNTY PROVISIONALS,President,,REP,Donald J. Trump,151
ACCOMACK COUNTY,ACCOMACK COUNTY PROVISIONALS,President,,GRN,Jill E. Stein,1
ACCOMACK COUNTY,ACCOMACK COUNTY PROVISIONALS,President,,DEM,Kamala D. Harris,106
ALBEMARLE COUNTY,101 - WOODBROOK,President,,OTH,All Others,29
ALBEMARLE COUNTY,101 - WOODBROOK,President,,LIB,Chase R. Oliver,9
ALBEMARLE COUNTY,101 - WOODBROOK,President,,IND,Claudia De La Cruz,4
ALBEMARLE COUNTY,101 - WOODBROOK,President,,IND,Cornel R. West,3
ALBEMARLE COUNTY,101 - WOODBROOK,President,,REP,Donald J. Trump,704
ALBEMARLE COUNTY,101 - WOODBROOK,President,,GRN,Jill E. Stein,13
ALBEMARLE COUNTY,101 - WOODBROOK,President,,DEM,Kamala D. Harris,1569
ALBEMARLE COUNTY,103 - BRANCHLANDS,President,,OTH,All Others,4
